City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Cape Town,ZA,-33.9258,18.4232,78.1,67,20,10.36,few clouds
104,Shache,CN,38.4167,77.2406,34.23,38,100,2.64,overcast clouds
105,Suwa,JP,36.038,138.1131,39.72,64,86,3.69,overcast clouds
106,Christchurch,NZ,-43.5333,172.6333,63.95,73,39,12.66,scattered clouds
107,Albany,US,42.6001,-73.9662,34.92,94,100,3.85,overcast clouds
108,East London,ZA,-33.0153,27.9116,77.94,78,0,5.75,clear sky
109,Mount Gambier,AU,-37.8333,140.7667,89.51,14,75,12.66,broken clouds
110,Qasigiannguit,GL,68.8193,-51.1922,-11.83,92,100,6.8,overcast clouds
111,Monterey,US,36.2505,-121.2516,42.1,1,0,3.04,clear sky
112,Cherskiy,RU,68.75,161.3,-36.94,100,34,1.74,scattered clouds
113,Aklavik,CA,68.2191,-135.0107,-35.57,95,100,2.19,overcast clouds
114,Caravelas,BR,-17.7125,-39.2481,75.42,88,100,4.65,overcast clouds
115,Tiksi,RU,71.6872,128.8694,-25.02,99,49,5.53,scattered clouds
116,Shingu,JP,33.7333,135.9833,45.91,68,100,1.99,overcast clouds
117,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,75,3.33,broken clouds
118,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.49,77,17,4.65,few clouds
119,Dikson,RU,73.5069,80.5464,5.95,91,100,24.63,overcast clouds
120,Puerto Escondido,MX,15.85,-97.0667,74.77,85,9,3.8,clear sky
121,Tessalit,ML,20.1986,1.0114,65.89,11,2,5.84,clear sky
122,Tyup,KG,42.7276,78.3648,28.81,70,100,1.39,overcast clouds
123,Yeppoon,AU,-23.1333,150.7333,82.18,63,6,10.54,clear sky
124,Bethel,US,41.3712,-73.414,37.08,93,100,5.41,light snow
125,Kavaratti,IN,10.5669,72.642,79.16,70,58,11.36,broken clouds
126,Ossora,RU,59.2353,163.0719,6.69,93,100,8.5,overcast clouds
127,Tasiilaq,GL,65.6145,-37.6368,12.54,86,100,5.68,overcast clouds
128,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,80,100,6.76,overcast clouds
129,Tura,IN,25.5198,90.2201,70.11,39,3,5.23,clear sky
