City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Kuala Terengganu,MY,2022-02-03 08:49:39,5.3302,103.1408,82.35,89,40,9.22
92,Tiksi,RU,2022-02-03 08:49:40,71.6872,128.8694,-6.92,97,97,6.69
93,Svetlogorsk,BY,2022-02-03 08:49:40,52.6333,29.7333,24.31,94,100,12.5
94,Biak,ID,2022-02-03 08:49:41,-0.9131,122.8766,81.23,74,97,2.1
95,Wakkanai,JP,2022-02-03 08:49:42,45.4094,141.6739,22.98,68,75,18.41
96,Ravar,IR,2022-02-03 08:50:43,31.2656,56.8055,57.43,24,0,4.97
97,Pirot,RS,2022-02-03 08:50:44,43.1531,22.5861,39.97,99,94,7.63
98,Saint George,US,2022-02-03 08:50:45,37.1041,-113.5841,30.79,35,0,1.01
99,Bathsheba,BB,2022-02-03 08:50:46,13.2167,-59.5167,75.81,78,20,13.8
100,Fortuna,US,2022-02-03 08:50:46,40.5982,-124.1573,47.93,93,100,1.01
101,Liwale,TZ,2022-02-03 08:50:47,-9.7667,37.9333,84.92,59,96,6.49
102,Saskylakh,RU,2022-02-03 08:50:48,71.9167,114.0833,-33.05,100,16,2.37
103,Broome,US,2022-02-03 08:50:49,42.2506,-75.833,40.62,76,100,1.01
104,Adrar,MR,2022-02-03 08:50:50,20.5022,-10.0711,63.55,15,0,13.24
105,Macusani,PE,2022-02-03 08:50:51,-14.0833,-70.4333,37.38,95,100,2.91
106,East London,ZA,2022-02-03 08:50:52,-33.0153,27.9116,76.14,94,20,13.8
107,Khatanga,RU,2022-02-03 08:50:52,71.9667,102.5,-33.7,99,24,1.41
108,Chara,RU,2022-02-03 08:50:54,56.9064,118.2631,-19.43,85,33,2.04
109,Esperance,AU,2022-02-03 08:50:55,-33.8667,121.9,85.84,54,5,25.5
110,Cherskiy,RU,2022-02-03 08:50:56,68.75,161.3,-22.7,90,76,1.03
111,Jamestown,US,2022-02-03 08:49:28,42.097,-79.2353,35.29,69,100,5.99
112,Deputatskiy,RU,2022-02-03 08:50:57,69.3,139.9,-24.2,92,86,3.53
113,Souillac,MU,2022-02-03 08:50:58,-20.5167,57.5167,79.36,94,75,26.46
114,Longonjo,AO,2022-02-03 08:50:58,-12.9067,15.2533,72.99,41,47,2.86
115,Boralday,KZ,2022-02-03 08:50:59,43.3578,76.8594,31.86,80,100,4.47
116,Melhus,NO,2022-02-03 08:51:00,63.2855,10.2781,28.08,82,100,5.46
117,Acarau,BR,2022-02-03 08:51:01,-2.8856,-40.12,76.8,88,92,8.39
118,Ugoofaaru,MV,2022-02-03 08:51:02,5.6667,73.0,81.46,69,24,3.18
119,Belyy Yar,RU,2022-02-03 08:51:03,53.6039,91.3903,-2.31,65,70,4.47
120,Brainerd,US,2022-02-03 08:51:04,46.358,-94.2008,-16.76,76,0,0.0
121,Chuy,UY,2022-02-03 08:51:04,-33.6971,-53.4616,68.09,96,48,5.64
122,Zhigansk,RU,2022-02-03 08:51:05,66.7697,123.3711,-31.58,100,16,2.84
123,Bullhead City,US,2022-02-03 08:50:30,35.1478,-114.5683,44.89,20,0,14.97
124,Vilyuysk,RU,2022-02-03 08:51:06,63.7553,121.6247,-20.15,99,90,5.08
125,Bati,ET,2022-02-03 08:51:07,11.1833,40.0167,73.92,34,96,11.18
126,Leh,IN,2022-02-03 08:50:16,34.1667,77.5833,17.58,85,100,1.03
127,Ngunut,ID,2022-02-03 08:51:09,-8.1058,112.0159,83.08,74,49,9.28
128,Port-Gentil,GA,2022-02-03 08:51:09,-0.7193,8.7815,80.56,89,75,2.3
129,Gunjur,GM,2022-02-03 08:51:10,13.2019,-16.7339,64.47,100,0,0.0
130,Timizart,DZ,2022-02-03 08:51:11,36.8,4.2667,58.68,42,1,4.72
131,Yinchuan,CN,2022-02-03 08:51:12,38.4681,106.2731,29.05,14,88,6.62
132,Ridgecrest,US,2022-02-03 08:51:13,35.6225,-117.6709,37.65,22,0,1.01
133,Mineiros,BR,2022-02-03 08:51:14,-17.5694,-52.5511,67.08,95,100,4.47
134,Walla Walla,US,2022-02-03 08:51:15,46.0646,-118.343,41.54,90,100,3.0
135,Constitucion,CL,2022-02-03 08:51:16,-35.3333,-72.4167,54.91,90,48,3.53
136,Yulara,AU,2022-02-03 08:51:16,-25.2406,130.9889,82.24,28,100,14.97
137,Kieta,PG,2022-02-03 08:51:17,-6.2167,155.6333,80.37,87,100,12.64
