City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Marsh Harbour,BS,73.08,clear sky,26.5412,-77.0636,Abaco Beach Resort
78,Lebu,CL,58.05,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
79,Flinders,AU,75.2,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
80,Andenes,NO,31.98,clear sky,69.3143,16.1194,Hotell Marena
83,Hammerfest,NO,31.73,clear sky,70.6634,23.6821,Skytterhuset
84,Kaihua,CN,63.64,few clouds,23.3687,104.28,Zhongyu Hotel
86,Rikitea,PF,78.91,overcast clouds,-23.1203,-134.9692,People ThankYou
87,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
89,Narragansett,US,43.02,moderate rain,41.4501,-71.4495,Hampton Inn South Kingstown - Newport Area
92,Aden,YE,78.46,broken clouds,12.7794,45.0367,Sama Emirate Hotel
94,Biankouma,CI,71.19,scattered clouds,7.7391,-7.6138,Hôtel Licolais
95,Plettenberg Bay,ZA,75.04,clear sky,-34.0527,23.3716,Thanda Vista B&B
96,San Cristobal,VE,64.76,broken clouds,7.7669,-72.225,Posada Villaven C.A.
97,Castro,BR,61.47,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
98,Ewa Beach,US,75.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
102,Mantua,IT,45.7,clear sky,45.1667,10.7833,Hotel la Favorita
103,Cape Town,ZA,78.1,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
104,Shache,CN,34.23,overcast clouds,38.4167,77.2406,Delong Hotel
105,Suwa,JP,39.72,overcast clouds,36.038,138.1131,RAKO 華乃井ホテル
106,Christchurch,NZ,63.95,scattered clouds,-43.5333,172.6333,The George
107,Albany,US,34.92,overcast clouds,42.6001,-73.9662,
108,East London,ZA,77.94,clear sky,-33.0153,27.9116,Tu Casa
111,Monterey,US,42.1,clear sky,36.2505,-121.2516,
114,Caravelas,BR,75.42,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
116,Shingu,JP,45.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
117,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
118,Sao Jose Da Coroa Grande,BR,77.49,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
120,Puerto Escondido,MX,74.77,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
121,Tessalit,ML,65.89,clear sky,20.1986,1.0114,
124,Bethel,US,37.08,light snow,41.3712,-73.414,Courtyard by Marriott Danbury
125,Kavaratti,IN,79.16,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
